,state code,county code,area,state abbv
801,4,0,Surprise city,AZ
802,4,0,Taylor town,AZ
803,4,0,Tempe city,AZ
804,4,0,Thatcher town,AZ
805,4,0,Tolleson city,AZ
806,4,0,Tombstone city,AZ
807,4,0,Tucson city,AZ
808,4,0,Tusayan town,AZ
809,4,0,Wellton town,AZ
810,4,0,Wickenburg town,AZ
811,4,0,Willcox city,AZ
812,4,0,Williams city,AZ
813,4,0,Winkelman town,AZ
814,4,0,Winslow city,AZ
815,4,0,Youngtown town,AZ
816,4,0,Yuma city,AZ
817,5,0,Arkansas,AR
818,5,1,Arkansas County,AR
819,5,3,Ashley County,AR
820,5,5,Baxter County,AR
821,5,7,Benton County,AR
822,5,9,Boone County,AR
823,5,11,Bradley County,AR
824,5,13,Calhoun County,AR
825,5,15,Carroll County,AR
826,5,17,Chicot County,AR
827,5,19,Clark County,AR
828,5,21,Clay County,AR
829,5,23,Cleburne County,AR
830,5,25,Cleveland County,AR
831,5,27,Columbia County,AR
832,5,29,Conway County,AR
833,5,31,Craighead County,AR
834,5,33,Crawford County,AR
835,5,35,Crittenden County,AR
836,5,37,Cross County,AR
837,5,39,Dallas County,AR
838,5,41,Desha County,AR
839,5,43,Drew County,AR
840,5,45,Faulkner County,AR
841,5,47,Franklin County,AR
842,5,49,Fulton County,AR
843,5,51,Garland County,AR
844,5,53,Grant County,AR
845,5,55,Greene County,AR
846,5,57,Hempstead County,AR
847,5,59,Hot Spring County,AR
848,5,61,Howard County,AR
849,5,63,Independence County,AR
850,5,65,Izard County,AR
851,5,67,Jackson County,AR
852,5,69,Jefferson County,AR
853,5,71,Johnson County,AR
854,5,73,Lafayette County,AR
855,5,75,Lawrence County,AR
856,5,77,Lee County,AR
857,5,79,Lincoln County,AR
858,5,81,Little River County,AR
859,5,83,Logan County,AR
860,5,85,Lonoke County,AR
861,5,87,Madison County,AR
862,5,89,Marion County,AR
863,5,91,Miller County,AR
864,5,93,Mississippi County,AR
865,5,95,Monroe County,AR
866,5,97,Montgomery County,AR
867,5,99,Nevada County,AR
868,5,101,Newton County,AR
869,5,103,Ouachita County,AR
870,5,105,Perry County,AR
871,5,107,Phillips County,AR
872,5,109,Pike County,AR
873,5,111,Poinsett County,AR
874,5,113,Polk County,AR
875,5,115,Pope County,AR
876,5,117,Prairie County,AR
